,ALL INDIA LIST OF DISTRICTS,,,
,Phase 1 - 54 Districts - PAHAL (DBTL) launched on 15.11.2014,,,
S.No.,State,Districts,Phase,
211 Jharkhand,Deoghar,Phase,2
212 Jharkhand,Dhanbad,Phase,2
213 Jharkhand,Dumka,Phase,2
214 Jharkhand,East_Singhbhum,Phase,2
215 Jharkhand,Garhwa,Phase,2
216 Jharkhand,Giridih,Phase,2
217 Jharkhand,Godda,Phase,2
218 Jharkhand,Gumla,Phase,2
219 Jharkhand,Hazaribagh,Phase,2
220 Jharkhand,Jamtara,Phase,2
221 Jharkhand,Khunti,Phase,2
222 Jharkhand,Koderma,Phase,2
223 Jharkhand,Latehar,Phase,2
224 Jharkhand,Lohardaga,Phase,2
225 Jharkhand,Pakur,Phase,2
226 Jharkhand,Palamu,Phase,2
227 Jharkhand,Ramgarh,Phase,2
228 Jharkhand,Ranchi,Phase,2
229 Jharkhand,Sahebganj,Phase,2
230 Jharkhand,Seraikela-Kharsawan,Phase,2
231 Jharkhand,Simdega,Phase,2
232 Jharkhand,West_Singhbhum,Phase,2
233 Karnataka,Bagalkot,Phase,2
234 Karnataka,Bangalore,Phase,2
235 Karnataka,Bangalore_Rural,Phase,2
236 Karnataka,Belgaum,Phase,2

237 Karnataka,Bellary,Phase,2
238 Karnataka,Bidar,Phase,2
239 Karnataka,Bijapur(KAT),Phase,2
240 Karnataka,Chamrajanagar,Phase,2
241 Karnataka,Chickmagalur,Phase,2
242 Karnataka,Chikkaballapur,Phase,2
243 Karnataka,Chitradurga,Phase,2
244 Karnataka,Dakshina_Kannada,Phase,2
245 Karnataka,Davangere,Phase,2
246 Karnataka,Dharwad,Phase,2
247 Karnataka,Gadag,Phase,2
248 Karnataka,Gulbarga,Phase,2
249 Karnataka,Hassan,Phase,2
250 Karnataka,Haveri,Phase,2
251 Karnataka,Kodagu,Phase,2
252 Karnataka,Kolar,Phase,2
253 Karnataka,Koppal,Phase,2
254 Karnataka,Mandya,Phase,2
255 Karnataka,Raichur,Phase,2
256 Karnataka,Ramanagar,Phase,2
257 Karnataka,Shimoga,Phase,2
258 Karnataka,Udupi,Phase,2
259 Karnataka,Uttara_Kannada,Phase,2
260 Karnataka,Yadgir,Phase,2
261 Lakshadweep,Lakshadweep,Phase,2
262 Madhya_Pradesh,Agar,Phase,2
263 Madhya_Pradesh,Alirajpur,Phase,2
264 Madhya_Pradesh,Anuppur,Phase,2
265 Madhya_Pradesh,Ashok_Nagar,Phase,2
266 Madhya_Pradesh,Balaghat,Phase,2
267 Madhya_Pradesh,Barwani,Phase,2
268 Madhya_Pradesh,Betul,Phase,2
269 Madhya_Pradesh,Bhind,Phase,2

270 Madhya_Pradesh,Bhopal,Phase,2
271 Madhya_Pradesh,Chhatarpur,Phase,2
272 Madhya_Pradesh,Chhindwara,Phase,2
273 Madhya_Pradesh,Damoh,Phase,2
274 Madhya_Pradesh,Datia,Phase,2
275 Madhya_Pradesh,Dewas,Phase,2
276 Madhya_Pradesh,Dhar,Phase,2
277 Madhya_Pradesh,Dindori,Phase,2
278 Madhya_Pradesh,Guna,Phase,2
279 Madhya_Pradesh,Gwalior,Phase,2
280 Madhya_Pradesh,Indore,Phase,2
281 Madhya_Pradesh,Jabalpur,Phase,2
282 Madhya_Pradesh,Jhabua,Phase,2
283 Madhya_Pradesh,Katni,Phase,2
